net,metric,stat_gr,df_gr,ges_gr,p_gr,stat_st,df_st,ges_st,p_st,stat_int,df_int,ges_int,p_int,p_gr_fdr,p_st_fdr,p_int_fdr,p_gr_bonf,p_st_bonf,p_int_bonf
VAN,D,1.16072322516718,"1, 25",0.023453168654233,0.291602244566713,23.4433210138252,"1, 25",0.311611930830491,5.61370326640954E-05,46.9872698416222,"1, 25",0.475693410563099,3.48032166026226E-07,0.354994036863824,0.000149698753771,1.62415010812239E-06,1,0.003143673829189,1.94898012974687E-05
VAN,S,0.001699180683018,"1, 25",4.20640711578624E-05,0.967447064258938,1.54245902946368,"1, 25",0.022972273559524,0.225777585010284,5.71872743679389,"1, 25",0.080183336659717,0.024629726505716,0.967447064258938,0.274859668708172,0.043102021385003,1,1,1
VAN,CP,15.8605065160571,"1, 25",0.194119746386834,0.000518178917158,4.99288304066186,"1, 25",0.110230542894701,0.034629056378677,20.0995544769778,"1, 25",0.332765342003216,0.000142231737073,0.001261653015688,0.052261421272156,0.000398248863803,0.029018019360825,1,0.007964977276063
VAN,LP,6.2753787043964,"1, 25",0.096796439644991,0.019124080115003,0.000353116799148,"1, 25",8.09412227603347E-06,0.985156685783429,26.350749697736,"1, 25",0.376564514040336,2.64080727212539E-05,0.033467140201256,0.985156685783429,9.24282545243886E-05,1,1,0.00147885207239
VAN,Sigma,6.53393774045187,"1, 25",0.108447078781004,0.017334989495238,20.2029778661778,"1, 25",0.3177246915386,0.000150091890635,0.444697324557253,"1, 25",0.01014638677926,0.51122473656528,0.031314819733334,0.000363754820322,0.667567535373471,0.970759411733337,0.008405145875536,1
WB,EG,789.405262216634,"1, 25",0.949958015567905,1.96622618575202E-20,1.99108385862787,"1, 25",0.030784956570534,0.170551544093951,36.1648727746886,"1, 25",0.365852524862784,2.78728749690079E-06,1.10108666402113E-18,0.212241921539139,1.20067769097265E-05,1.10108666402113E-18,1,0.000156088099826
WB,EL,19.1581924608937,"1, 25",0.299360351319859,0.000187295155464,25.7415809044,"1, 25",0.312985275155828,3.08103316297627E-05,7.17470390589345,"1, 25",0.112670805408954,0.012880863049732,0.00048760905411,9.08093984877216E-05,0.025761726099464,0.010488528706007,0.001725378571267,0.721328330784981
WB,D,426.442335100622,"1, 25",0.904799344403083,3.17528340397962E-17,84.4433684814569,"1, 25",0.599317814460804,1.71662183369914E-09,0.303062907969291,"1, 25",0.005339483744589,0.586854571871735,8.89079353114294E-16,1.06812025207947E-08,0.734885973559943,1.77815870622859E-15,9.61308226871519E-08,1
WB,S,27.1747683772631,"1, 25",0.373771554233984,2.15024274389445E-05,3.70363659256002,"1, 25",0.062616739759111,0.065747318806836,0.076032808277348,"1, 25",0.001369464455643,0.785013868218105,7.0831525681229E-05,0.087663091742448,0.829448615475733,0.001204135936581,1,1
WB,CP,69.7815950935148,"1, 25",0.609591977353363,1.05857916345359E-08,0.014459756762555,"1, 25",0.000254775939187,0.905247310078066,22.7766832436495,"1, 25",0.286437834869107,6.71894165300747E-05,6.58671479482232E-08,0.938774988229106,0.000206238486121,5.92804331534009E-07,1,0.003762607325684
WB,LP,246.045105181412,"1, 25",0.827335065006121,1.90218046787321E-14,6.47362404877984,"1, 25",0.117290441295751,0.017504284210948,2.1124850674345,"1, 25",0.041558198290141,0.158540661412648,3.55073687336332E-13,0.029704239873125,0.227648129207905,1.065221062009E-12,0.980239915813109,1
WB,Sigma,58.7758847372482,"1, 25",0.56354807582699,5.06105296685843E-08,602.822603980679,"1, 25",0.915753638908796,5.10593759677944E-19,15.3274185267034,"1, 25",0.21653440824966,0.000616082720787,2.5765360558552E-07,2.85932505419649E-17,0.001437526348504,2.83418966144072E-06,2.85932505419649E-17,0.03450063236409
